Seconds,Value
3838373938.8080001,
3838373939.8219838,
3838373945.7680001,
3838373950.8200002,T
3838373951.009984,Th
3838373951.1729922,The
3838373951.3069758,The 
3838373951.4289918,The q
3838373951.5689921,The qu
3838373951.6929922,The qui
3838373951.860992,The quic
3838373952.0009918,The quick
3838373952.096992,The quick 
3838373952.365984,The quick b
3838373952.5320001,The quick br
3838373952.6139841,The quick bro
3838373952.8319998,The quick brow
3838373952.912992,The quick brown
3838373953.0669761,The quick brown 
3838373954.0109758,The quick brown f
3838373954.0949759,The quick brown fo
3838373954.3539839,The quick brown fox
3838373954.4789758,The quick brown fox 
3838373954.9159999,The quick brown fox j
3838373955.0709758,The quick brown fox ju
3838373955.2569919,The quick brown fox jum
3838373955.4569921,The quick brown fox jump
3838373955.621984,The quick brown fox jumps
3838373955.7569919,The quick brown fox jumps 
3838373955.9369922,The quick brown fox jumps o
3838373956.233984,The quick brown fox jumps ov
3838373956.3049922,The quick brown fox jumps ove
3838373956.4559999,The quick brown fox jumps over
3838373956.534976,The quick brown fox jumps over 
3838373956.840992,The quick brown fox jumps over t
3838373956.964992,The quick brown fox jumps over th
3838373957.141984,The quick brown fox jumps over the
3838373957.3789759,The quick brown fox jumps over the 
3838373957.5229759,The quick brown fox jumps over the l
3838373957.7259841,The quick brown fox jumps over the la
3838373958.188992,The quick brown fox jumps over the laz
3838373958.3239999,The quick brown fox jumps over the lazy
3838373958.489984,The quick brown fox jumps over the lazy 
3838373958.8349762,The quick brown fox jumps over the lazy d
3838373959.574976,The quick brown fox jumps over the lazy do
3838373959.6549759,The quick brown fox jumps over the lazy dog
3838373961.2419839,The quick brown fox jumps over the lazy dog.
3838373961.5279999,The quick brown fox jumps over the lazy dog. 
3838373962.464992,The quick brown fox jumps over the lazy dog. T
3838373962.6589761,The quick brown fox jumps over the lazy dog. Th
3838373962.8139839,The quick brown fox jumps over the lazy dog. The
3838373962.9749761,The quick brown fox jumps over the lazy dog. The 
3838373963.092,The quick brown fox jumps over the lazy dog. The q
3838373963.256,The quick brown fox jumps over the lazy dog. The qu
3838373963.4120002,The quick brown fox jumps over the lazy dog. The qui
3838373963.581984,The quick brown fox jumps over the lazy dog. The quic
3838373963.7149758,The quick brown fox jumps over the lazy dog. The quick
3838373963.8859839,The quick brown fox jumps over the lazy dog. The quick 
3838373964.4269762,The quick brown fox jumps over the lazy dog. The quick b
3838373964.6089921,The quick brown fox jumps over the lazy dog. The quick br
3838373964.708992,The quick brown fox jumps over the lazy dog. The quick bro
3838373964.8809919,The quick brown fox jumps over the lazy dog. The quick brow
3838373964.994976,The quick brown fox jumps over the lazy dog. The quick brown
3838373965.164,The quick brown fox jumps over the lazy dog. The quick brown 
3838373976.0419841,
3838373976.0440001,
