Seconds,Value
3838184474.1479998,
3838184474.1539841,
3838184484.7749758,
3838184491.2179842,T
3838184491.3400002,Th
3838184491.452992,The
3838184491.5489922,The 
3838184491.7379842,The q
3838184491.845984,The qu
3838184491.9549761,The qui
3838184492.0669761,The quic
3838184492.2149758,The quick
3838184492.3049922,The quick 
3838184492.4200001,The quick b
3838184492.632,The quick br
3838184492.7509761,The quick bro
3838184492.9439998,The quick brow
3838184493.081984,The quick brown
3838184493.2099838,The quick brown 
3838184493.5159998,The quick brown f
3838184493.6349759,The quick brown fo
3838184493.7600002,The quick brown fox
3838184493.8959999,The quick brown fox 
3838184494.0359998,The quick brown fox j
3838184494.2249918,The quick brown fox ju
3838184494.4609919,The quick brown fox jum
3838184494.5529919,The quick brown fox jump
3838184494.6739841,The quick brown fox jumps
3838184494.805984,The quick brown fox jumps 
3838184494.8939838,The quick brown fox jumps o
3838184495.0059838,The quick brown fox jumps ov
3838184495.1449919,The quick brown fox jumps ove
3838184495.2299838,The quick brown fox jumps over
3838184495.305984,The quick brown fox jumps over 
3838184495.4659839,The quick brown fox jumps over t
3838184495.5709758,The quick brown fox jumps over th
3838184495.596992,The quick brown fox jumps over the
3838184495.7209921,The quick brown fox jumps over the 
3838184495.9039998,The quick brown fox jumps over the l
3838184495.9729919,The quick brown fox jumps over the la
3838184496.2160001,The quick brown fox jumps over the laz
3838184496.3239999,The quick brown fox jumps over the lazy
3838184496.4159999,The quick brown fox jumps over the lazy 
3838184496.6849918,The quick brown fox jumps over the lazy d
3838184496.7529922,The quick brown fox jumps over the lazy do
3838184496.892992,The quick brown fox jumps over the lazy dog
3838184497.0539842,The quick brown fox jumps over the lazy dog

3838184497.3219838,The quick brown fox jumps over the lazy dog
T
3838184497.5029759,The quick brown fox jumps over the lazy dog
Th
3838184497.52,The quick brown fox jumps over the lazy dog
The
3838184497.6859841,The quick brown fox jumps over the lazy dog
The 
3838184497.8029761,The quick brown fox jumps over the lazy dog
The q
3838184498.0329919,The quick brown fox jumps over the lazy dog
The qc
3838184498.2209921,The quick brown fox jumps over the lazy dog
The qcu
3838184498.3179841,The quick brown fox jumps over the lazy dog
The qcui
3838184498.8379841,The quick brown fox jumps over the lazy dog
The qcu
3838184498.9889922,The quick brown fox jumps over the lazy dog
The qc
3838184499.1449919,The quick brown fox jumps over the lazy dog
The q
3838184499.462976,The quick brown fox jumps over the lazy dog
The qu
3838184499.4959998,The quick brown fox jumps over the lazy dog
The qui
3838184499.6339841,The quick brown fox jumps over the lazy dog
The quic
3838184499.778976,The quick brown fox jumps over the lazy dog
The quick
3838184499.8579841,The quick brown fox jumps over the lazy dog
The quick 
3838184499.9809918,The quick brown fox jumps over the lazy dog
The quick b
3838184500.2009921,The quick brown fox jumps over the lazy dog
The quick br
3838184500.278976,The quick brown fox jumps over the lazy dog
The quick bro
3838184500.4400001,The quick brown fox jumps over the lazy dog
The quick brow
3838184500.5269761,The quick brown fox jumps over the lazy dog
The quick brown
3838184500.6139841,The quick brown fox jumps over the lazy dog
The quick brown 
3838184500.7659841,The quick brown fox jumps over the lazy dog
The quick brown f
3838184500.8569918,The quick brown fox jumps over the lazy dog
The quick brown fo
3838184500.9809918,The quick brown fox jumps over the lazy dog
The quick brown fox
3838184501.0949759,The quick brown fox jumps over the lazy dog
The quick brown fox 
3838184501.2149758,The quick brown fox jumps over the lazy dog
The quick brown fox j
3838184501.3959999,The quick brown fox jumps over the lazy dog
The quick brown fox ju
3838184501.6149759,The quick brown fox jumps over the lazy dog
The quick brown fox jum
3838184501.6960001,The quick brown fox jumps over the lazy dog
The quick brown fox jump
3838184501.8080001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps
3838184501.928,The quick brown fox jumps over the lazy dog
The quick brown fox jumps 
3838184502,The quick brown fox jumps over the lazy dog
The quick brown fox jumps o
3838184502.0840001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps ov
3838184502.2049918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps ove
3838184502.280992,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over
3838184502.3899841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over 
3838184502.5599999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over t
3838184502.632,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over th
3838184502.6949759,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the
3838184502.7829762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the 
3838184502.937984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the l
3838184502.9939842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the la
3838184503.2119999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the laz
3838184503.3299842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy
3838184503.437984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy 
3838184503.6880002,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy d
3838184503.7459841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy do
3838184503.9189758,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
3838184504.0729918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog

3838184504.345984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
T
3838184504.5269761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
Th
3838184504.5889921,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The
3838184504.7269759,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The 
3838184504.825984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The q
3838184504.9679999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The qu
3838184505.0809922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The qui
3838184505.280992,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quic
3838184505.3959999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick
3838184505.5159998,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick 
3838184505.684,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick b
3838184505.8809919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick br
3838184505.9499841,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick bro
3838184506.1149759,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick brow
