Seconds,Value.key,Value.pressed
3840864973.5019841,RShiftKey,True
3840864973.9320002,T,True
3840864974.0409918,T,False
3840864974.0579839,RShiftKey,False
3840864974.092,O,True
3840864974.1919999,O,False
3840864974.2819839,D,True
3840864974.3720002,D,False
3840864974.489984,A,True
3840864974.5989761,A,False
3840864974.8449922,Back,True
3840864974.932992,Back,False
3840864975,Back,True
3840864975.0999999,Back,False
3840864975.1509762,Back,True
3840864975.2569919,Back,False
3840864975.360992,RShiftKey,True
3840864975.4699841,T,True
3840864975.5509758,RShiftKey,False
3840864975.5679998,T,False
3840864975.6289921,O,True
3840864975.7379842,O,False
3840864975.7480001,D,True
3840864975.8419838,D,False
3840864975.8439999,A,True
3840864975.9059839,Y,True
3840864975.948,A,False
3840864976.0159998,Space,True
3840864976.0529919,Y,False
3840864976.1079998,Space,False
3840864976.156992,I,True
3840864976.2600002,S,True
3840864976.273984,I,False
3840864976.3400002,Space,True
3840864976.3739839,S,False
3840864976.4359999,Space,False
3840864976.48,A,True
3840864976.5419841,Space,True
3840864976.5729918,A,False
3840864976.6729922,Space,False
3840864976.7080002,S,True
3840864976.7829762,U,True
3840864976.8169918,S,False
3840864976.8759999,U,False
3840864977.112,N,True
3840864977.2019839,N,False
3840864977.3019838,N,True
3840864977.3859839,N,False
3840864977.5440001,Y,True
3840864977.626976,Space,True
3840864977.6859841,Y,False
3840864977.7529922,Space,False
3840864977.7839999,D,True
3840864977.8720002,A,True
3840864977.8839998,D,False
3840864977.98,A,False
3840864977.9959998,Y,True
3840864978.0879998,Y,False
3840864978.2749758,Return,True
3840864978.3589759,Return,False
3840864978.5469761,RShiftKey,True
3840864978.6560001,T,True
3840864978.7319999,RShiftKey,False
3840864978.7579842,T,False
3840864978.8429761,O,True
3840864978.922976,O,False
3840864978.9349761,D,True
3840864979.0229759,A,True
3840864979.0279999,D,False
3840864979.0929918,Y,True
3840864979.1339841,A,False
3840864979.2080002,Space,True
3840864979.228992,Y,False
3840864979.2829762,Space,False
3840864979.3049922,I,True
3840864979.3759999,S,True
3840864979.4149761,I,False
3840864979.5069761,S,False
3840864979.52,Space,True
3840864979.6089921,A,True
3840864979.6209922,Space,False
3840864979.7349758,A,False
3840864979.7360001,Space,True
3840864979.8539839,Space,False
3840864980.1760001,S,True
3840864980.3189759,S,False
3840864980.3319998,U,True
3840864980.4019842,U,False
3840864980.917984,N,True
3840864980.96,N,False
3840864981.049984,N,True
3840864981.1699839,N,False
3840864981.2819839,Y,True
3840864981.3829761,Space,True
3840864981.4209919,Y,False
3840864981.482976,Space,False
3840864981.54,D,True
3840864981.6029758,A,True
3840864981.612,D,False
3840864981.6849918,Y,True
3840864981.7059841,A,False
3840864981.7689919,Y,False
3840864981.9299841,Return,True
3840864982.0309758,Return,False
3840864982.1599998,RShiftKey,True
3840864982.2899842,T,True
3840864982.3369918,RShiftKey,False
3840864982.3789759,T,False
3840864982.4419842,O,True
3840864982.5419841,O,False
3840864982.5640001,D,True
3840864982.6529918,D,False
3840864982.656992,A,True
3840864982.733984,Y,True
3840864982.758976,A,False
3840864982.8389759,Space,True
3840864982.8769922,Y,False
3840864982.9259839,Space,False
3840864982.964992,I,True
3840864983.0339842,S,True
3840864983.0739841,I,False
3840864983.1579838,S,False
3840864983.198976,Space,True
3840864983.3029761,Space,False
3840864983.3249922,A,True
3840864983.4219842,A,False
3840864983.4449921,Space,True
3840864983.5489922,Space,False
3840864983.6760001,S,True
3840864983.7769918,U,True
3840864983.8069758,S,False
3840864983.8699841,U,False
3840864983.9619842,N,True
3840864984.0459838,N,False
3840864984.112,N,True
3840864984.1949759,N,False
3840864984.305984,Y,True
3840864984.3819842,Space,True
3840864984.4239998,Y,False
3840864984.489984,Space,False
3840864984.549984,D,True
3840864984.6249919,D,False
3840864984.6249919,A,True
3840864984.7129922,Y,True
3840864984.7169919,A,False
3840864984.7929921,Y,False
3840864984.9699841,Return,True
3840864985.0609918,Return,False
3840864985.2009921,RShiftKey,True
3840864985.52,T,True
3840864985.6179838,RShiftKey,False
3840864985.621984,T,False
3840864985.6719999,O,True
3840864985.7839999,O,False
3840864985.8229761,D,True
3840864985.9320002,D,False
3840864985.9439998,A,True
3840864986.0469761,A,False
3840864986.0739841,Y,True
3840864986.2029762,Y,False
3840864986.2209921,Space,True
3840864986.3149762,Space,False
3840864986.412992,I,True
3840864986.4929919,S,True
3840864986.5059838,I,False
3840864986.5909762,S,False
3840864986.6189761,Space,True
3840864986.7149758,Space,False
3840864986.733984,A,True
3840864986.8219838,Space,True
3840864986.8429761,A,False
3840864986.9169922,Space,False
3840864986.9959998,S,True
3840864987.1089921,S,False
3840864987.141984,U,True
3840864987.2349758,U,False
3840864987.3349762,N,True
