Seconds,Value
3838184229.136992,
3838184230.152,
3838184248.6049919,
3838184251.1399999,T
3838184251.2769918,Th
3838184251.4509759,The
3838184251.5889921,The 
3838184251.9109759,The q
3838184252.0129919,The qu
3838184252.1049919,The qui
3838184252.2199998,The quic
3838184252.3529921,The quick
3838184252.4640002,The quick 
3838184253.1049919,The quick b
3838184253.3200002,The quick br
3838184253.4299841,The quick bro
3838184253.6029758,The quick brow
3838184253.7199998,The quick brown
3838184253.830976,The quick brown 
3838184254.0979838,The quick brown f
3838184254.186976,The quick brown fo
3838184254.3280001,The quick brown fox
3838184254.4569921,The quick brown fox 
3838184254.5879998,The quick brown fox j
3838184254.7669759,The quick brown fox ju
3838184254.9959998,The quick brown fox jum
3838184255.0539842,The quick brown fox jump
3838184255.397984,The quick brown fox jum
3838184255.9120002,The quick brown fox jums
3838184256.2480001,The quick brown fox jum
3838184256.4689922,The quick brown fox jump
3838184256.581984,The quick brown fox jumps
3838184256.7480001,The quick brown fox jumps 
3838184256.7969918,The quick brown fox jumps o
3838184256.9289918,The quick brown fox jumps ov
3838184257.0569921,The quick brown fox jumps ove
3838184257.1449919,The quick brown fox jumps over
3838184257.198976,The quick brown fox jumps over 
3838184257.3689919,The quick brown fox jumps over t
3838184257.4299841,The quick brown fox jumps over th
3838184257.4669762,The quick brown fox jumps over the
3838184257.601984,The quick brown fox jumps over the 
3838184257.830976,The quick brown fox jumps over the l
3838184257.9969921,The quick brown fox jumps over the la
3838184258.2699838,The quick brown fox jumps over the laz
3838184258.5419841,The quick brown fox jumps over the lazy
3838184258.6929922,The quick brown fox jumps over the lazy 
3838184258.8720002,The quick brown fox jumps over the lazy d
3838184258.9569921,The quick brown fox jumps over the lazy do
3838184259.5259838,The quick brown fox jumps over the lazy dog
3838184259.7709761,The quick brown fox jumps over the lazy dog

3838184260.336,The quick brown fox jumps over the lazy dog
T
3838184260.4859838,The quick brown fox jumps over the lazy dog
Th
3838184260.5799999,The quick brown fox jumps over the lazy dog
The
3838184260.688992,The quick brown fox jumps over the lazy dog
The 
3838184260.8839998,The quick brown fox jumps over the lazy dog
The q
3838184260.9640002,The quick brown fox jumps over the lazy dog
The qu
3838184261.0440001,The quick brown fox jumps over the lazy dog
The qui
3838184261.184,The quick brown fox jumps over the lazy dog
The quic
3838184261.3029761,The quick brown fox jumps over the lazy dog
The quick
3838184261.4049921,The quick brown fox jumps over the lazy dog
The quick 
3838184261.5479999,The quick brown fox jumps over the lazy dog
The quick b
3838184261.7509761,The quick brown fox jumps over the lazy dog
The quick br
3838184261.8269758,The quick brown fox jumps over the lazy dog
The quick bro
3838184261.9739838,The quick brown fox jumps over the lazy dog
The quick brow
3838184262.0369921,The quick brown fox jumps over the lazy dog
The quick brown
3838184262.116992,The quick brown fox jumps over the lazy dog
The quick brown 
3838184262.3539839,The quick brown fox jumps over the lazy dog
The quick brown f
3838184262.462976,The quick brown fox jumps over the lazy dog
The quick brown fo
3838184262.641984,The quick brown fox jumps over the lazy dog
The quick brown fox
3838184262.785984,The quick brown fox jumps over the lazy dog
The quick brown fox 
3838184262.9449921,The quick brown fox jumps over the lazy dog
The quick brown fox j
3838184263.1199999,The quick brown fox jumps over the lazy dog
The quick brown fox ju
3838184263.3239999,The quick brown fox jumps over the lazy dog
The quick brown fox jum
3838184263.4149761,The quick brown fox jumps over the lazy dog
The quick brown fox jump
3838184263.5389762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps
3838184263.6579838,The quick brown fox jumps over the lazy dog
The quick brown fox jumps 
3838184263.7509761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps o
3838184263.8469758,The quick brown fox jumps over the lazy dog
The quick brown fox jumps ov
3838184263.9939842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps ove
3838184264.0809922,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over
3838184264.1529918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over 
3838184264.320992,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over t
3838184264.3689919,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over th
3838184264.4249921,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the
3838184264.621984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the 
3838184264.9920001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the l
3838184265.126976,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the la
3838184265.365984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the laz
3838184265.4669762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy
3838184265.5840001,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy 
3838184265.805984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy d
3838184265.897984,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy do
3838184266.0799999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dob
3838184266.4939842,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy do
3838184266.5679998,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
3838184266.8569918,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog

3838184267.3000002,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
T
3838184267.4559999,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
Th
3838184267.544992,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The
3838184267.6499839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The 
3838184267.790976,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The q
3838184267.8789759,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The qu
3838184267.9669762,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The qui
3838184268.0899839,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quic
3838184268.2309761,The quick brown fox jumps over the lazy dog
The quick brown fox jumps over the lazy dog
The quick
3838184268.3529921,The quick brown fox jumps over the lazy dog
