Seconds,Value
3839138751.5939841,
3839138752.6139841,
3839138754.4819841,
3839138756.708992,T
3839138756.8839998,Th
3839138756.9789758,The
3839138757.141984,The 
3839138757.2469759,The q
3839138757.9239998,The qu
3839138758.069984,The qui
3839138758.1929922,The quic
3839138758.2459841,The quick
3839138758.4359999,The quick 
3839138758.596992,The quick b
3839138758.6659842,The quick br
3839138758.8039999,The quick bro
3839138758.9059839,The quick brow
3839138759.0019841,The quick brown
3839138759.1429758,The quick brown 
3839138759.2309761,The quick brown f
3839138759.365984,The quick brown fo
3839138759.54,The quick brown fox
3839138759.656992,The quick brown fox 
3839138759.8669758,The quick brown fox j
3839138759.9929919,The quick brown fox ju
3839138760.2329922,The quick brown fox jum
3839138760.4389758,The quick brown fox jump
3839138760.549984,The quick brown fox jumps
3839138760.6849918,The quick brown fox jumps 
3839138760.8529921,The quick brown fox jumps o
3839138760.912992,The quick brown fox jumps ov
3839138761,The quick brown fox jumps ove
3839138761.076992,The quick brown fox jumps over
3839138761.2160001,The quick brown fox jumps over 
3839138761.3099842,The quick brown fox jumps over t
3839138761.3889918,The quick brown fox jumps over th
3839138761.4739838,The quick brown fox jumps over the
3839138761.5929918,The quick brown fox jumps over the 
3839138761.753984,The quick brown fox jumps over the l
3839138761.865984,The quick brown fox jumps over the la
3839138762.04,The quick brown fox jumps over the laz
3839138762.1329918,The quick brown fox jumps over the lazy
3839138762.2409921,The quick brown fox jumps over the lazy 
3839138762.350976,The quick brown fox jumps over the lazy d
3839138762.4619842,The quick brown fox jumps over the lazy do
3839138762.6549759,The quick brown fox jumps over the lazy dog
3839138762.8219838,The quick brown fox jumps over the lazy dog

3839138763.1909761,The quick brown fox jumps over the lazy dog
T
3839138763.3419838,The quick brown fox jumps over the lazy dog
Th
3839138763.4259839,The quick brown fox jumps over the lazy dog
The
3839138763.5789762,The quick brown fox jumps over the lazy dog
The 
3839138763.8249922,The quick brown fox jumps over the lazy dog
The q
3839138763.8720002,The quick brown fox jumps over the lazy dog
The qu
3839138764.0219841,The quick brown fox jumps over the lazy dog
The qui
3839138764.1029758,The quick brown fox jumps over the lazy dog
The quic
3839138764.233984,The quick brown fox jumps over the lazy dog
The quick
3839138764.402976,The quick brown fox jumps over the lazy dog
The quick 
3839138764.564992,The quick brown fox jumps over the lazy dog
The quick b
3839138764.6040001,The quick brown fox jumps over the lazy dog
The quick br
3839138764.7629762,The quick brown fox jumps over the lazy dog
The quick bro
3839138764.8339839,The quick brown fox jumps over the lazy dog
The quick brow
3839138764.964992,The quick brown fox jumps over the lazy dog
The quick brown
3839138765.6680002,The quick brown fox jumps over the lazy dog
The quick brown 
3839138765.810976,The quick brown fox jumps over the lazy dog
The quick brown f
3839138765.9200001,The quick brown fox jumps over the lazy dog
The quick brown fo
3839138766.092,The quick brown fox jumps over the lazy dog
The quick brown fox
3839138766.2469759,The quick brown fox jumps over the lazy dog
The quick brown fox 
3839138766.4619842,The quick brown fox jumps over the lazy dog
The quick brown fox j
3839138766.6409922,The quick brown fox jumps over the lazy dog
The quick brown fox ju
3839138766.8039999,The quick brown fox jumps over the lazy dog
The quick brown fox jum
3839138766.982976,The quick brown fox jumps over the lazy dog
The quick brown fox jump
3839138767.081984,The quick brown fox jumps over the lazy dog
