Seconds,Value
1637.3069760000001,
3841031232.3280001,
3841031242.4339838,
3841031244.101984,T
3841031244.2249918,TH
3841031244.3769922,THe
3841031244.4520001,THe 
3841031244.652,THe q
3841031244.7659841,THe qu
3841031244.8899841,THe qui
3841031245.0289922,THe quic
3841031245.1139841,THe quick
3841031245.238976,THe quick 
3841031245.3569918,THe quick b
3841031245.5289922,THe quick br
3841031245.6329918,THe quick bro
3841031245.7639999,THe quick brow
3841031245.8469758,THe quick brown
3841031245.9369922,THe quick brown 
3841031246.0429759,THe quick brown f
3841031246.1579838,THe quick brown fo
3841031246.2769918,THe quick brown fox
3841031246.4099841,THe quick brown fox 
3841031246.5309758,THe quick brown fox j
3841031246.6859841,THe quick brown fox ju
3841031246.8579841,THe quick brown fox jum
3841031246.952992,THe quick brown fox jump
3841031247.1040001,THe quick brown fox jumps
3841031247.2369919,THe quick brown fox jumps 
3841031247.3349762,THe quick brown fox jumps o
3841031247.4269762,THe quick brown fox jumps ov
3841031247.5379839,THe quick brown fox jumps ove
3841031247.6139841,THe quick brown fox jumps over
3841031247.6479998,THe quick brown fox jumps over 
3841031247.7800002,THe quick brown fox jumps over t
3841031247.8389759,THe quick brown fox jumps over th
3841031247.9039998,THe quick brown fox jumps over the
3841031248.0059838,THe quick brown fox jumps over the 
3841031248.1779842,THe quick brown fox jumps over the l
3841031248.2409921,THe quick brown fox jumps over the la
3841031248.4409919,THe quick brown fox jumps over the laz
3841031248.5379839,THe quick brown fox jumps over the lazy
3841031248.6289921,THe quick brown fox jumps over the lazy 
3841031248.8149762,THe quick brown fox jumps over the lazy d
3841031248.937984,THe quick brown fox jumps over the lazy do
3841031249.2889919,THe quick brown fox jumps over the lazy dog
3841031249.5539842,THe quick brown fox jumps over the lazy dog

3841031250.081984,THe quick brown fox jumps over the lazy dog
T
3841031250.224,THe quick brown fox jumps over the lazy dog
Th
3841031250.3029761,THe quick brown fox jumps over the lazy dog
The
3841031250.402976,THe quick brown fox jumps over the lazy dog
The 
3841031250.636992,THe quick brown fox jumps over the lazy dog
The g
3841031250.962976,THe quick brown fox jumps over the lazy dog
The 
3841031251.0989761,THe quick brown fox jumps over the lazy dog
The q
3841031251.1960001,THe quick brown fox jumps over the lazy dog
The qu
3841031251.2929921,THe quick brown fox jumps over the lazy dog
The qui
3841031251.3739839,THe quick brown fox jumps over the lazy dog
The quic
3841031251.5069761,THe quick brown fox jumps over the lazy dog
The quick
3841031251.6240001,THe quick brown fox jumps over the lazy dog
The quick 
3841031251.8149762,THe quick brown fox jumps over the lazy dog
The quick b
3841031251.9819841,THe quick brown fox jumps over the lazy dog
The quick br
3841031252.0979838,THe quick brown fox jumps over the lazy dog
The quick bro
3841031252.198976,THe quick brown fox jumps over the lazy dog
The quick brow
3841031252.2949762,THe quick brown fox jumps over the lazy dog
The quick brown
3841031252.388,THe quick brown fox jumps over the lazy dog
The quick brown 
3841031252.5309758,THe quick brown fox jumps over the lazy dog
The quick brown f
3841031252.6659842,THe quick brown fox jumps over the lazy dog
The quick brown fo
3841031252.7829762,THe quick brown fox jumps over the lazy dog
The quick brown fox
3841031252.937984,THe quick brown fox jumps over the lazy dog
The quick brown fox 
3841031253.0779839,THe quick brown fox jumps over the lazy dog
The quick brown fox j
3841031253.2109761,THe quick brown fox jumps over the lazy dog
The quick brown fox ju
3841031253.422976,THe quick brown fox jumps over the lazy dog
The quick brown fox jum
3841031253.4859838,THe quick brown fox jumps over the lazy dog
The quick brown fox jump
3841031253.5589762,
3841031253.5599999,
