Seconds,Value
3838363873.3449922,
3838363875.3689919,
3838363878.121984,
3838363887.1760001,T
3838363887.300992,Th
3838363887.4679999,The
3838363887.5879998,The 
3838363887.848,The q
3838363888.0369921,The qu
3838363888.1389761,The qui
3838363888.320992,The quic
3838363888.4739838,The quick
3838363888.7009921,The quick 
3838363889.193984,The quick b
3838363889.4149761,The quick br
3838363889.581984,The quick bro
3838363889.708992,The quick broq
3838363889.860992,The quick broqn
3838363890.3139839,The quick broq
3838363890.4469762,The quick bro
3838363890.7629762,The quick brow
3838363890.9969921,The quick brown
3838363891.238976,The quick brown 
3838363891.6079998,The quick brown f
3838363891.8289919,The quick brown fo
3838363892.0949759,The quick brown fox
3838363892.3469758,The quick brown fox 
3838363892.9840002,The quick brown fox j
3838363893.1599998,The quick brown fox ju
3838363893.3669758,The quick brown fox jum
3838363893.4969921,The quick brown fox jump
3838363893.9400001,The quick brown fox jumps
3838363894.1160002,The quick brown fox jumps 
3838363894.3149762,The quick brown fox jumps o
3838363894.4149761,The quick brown fox jumps ov
3838363894.5219841,The quick brown fox jumps ove
3838363894.6240001,The quick brown fox jumps over
3838363894.7119999,The quick brown fox jumps over 
3838363894.8289919,The quick brown fox jumps over t
3838363894.9149761,The quick brown fox jumps over th
3838363895.0240002,The quick brown fox jumps over the
3838363895.092,The quick brown fox jumps over the 
3838363895.3169918,The quick brown fox jumps over the l
3838363895.4469762,The quick brown fox jumps over the la
3838363895.6539841,The quick brown fox jumps over the laz
3838363895.758976,The quick brown fox jumps over the lazy
3838363895.8449922,The quick brown fox jumps over the lazy 
3838363896.0909762,The quick brown fox jumps over the lazy d
3838363896.204,The quick brown fox jumps over the lazy do
3838363896.3649921,The quick brown fox jumps over the lazy dog
3838363896.9139838,The quick brown fox jumps over the lazy dog

3838363908.3329921,
