Seconds,Value
3840363335.5729918,
3840363335.596992,
3840363351.3989758,
3840363358.9729919,t
3840363359.0960002,th
3840363359.3089919,the
3840363359.4239998,the 
3840363359.6589761,the q
3840363359.9189758,the qu
3840363360.0979838,the qui
3840363360.4019842,the quic
3840363360.6659842,the quick
3840363360.8809919,the quick 
3840363361.2109761,the quick b
3840363361.5219841,the quick br
3840363361.6849918,the quick bro
3840363362.1049919,the quick brow
3840363362.4000001,the quick brown
3840363362.5929918,the quick brown 
3840363363.3049922,the quick brown f
3840363363.432992,the quick brown fo
3840363363.7779841,the quick brown fox
3840363363.8969922,the quick brown fox 
3840363364.6589761,the quick brown fox j
3840363364.8619838,the quick brown fox ju
3840363365.0629759,the quick brown fox jum
3840363365.2699838,the quick brown fox jump
3840363365.4469762,the quick brown fox jumps
3840363365.6199999,the quick brown fox jumps 
3840363365.9739838,the quick brown fox jumps o
3840363366.3920002,the quick brown fox jumps ov
3840363366.6969919,the quick brown fox jumps ove
3840363366.9349761,the quick brown fox jumps over
3840363367.0109758,the quick brown fox jumps over 
3840363367.2499838,the quick brown fox jumps over t
3840363367.4219842,the quick brown fox jumps over th
3840363367.564992,the quick brown fox jumps over the
3840363367.6529918,the quick brown fox jumps over the 
3840363367.8869758,the quick brown fox jumps over the l
3840363368.0179839,the quick brown fox jumps over the la
3840363368.3179841,the quick brown fox jumps over the laz
3840363368.5569921,the quick brown fox jumps over the lazy
3840363368.7639999,the quick brown fox jumps over the lazy 
3840363368.9089918,the quick brown fox jumps over the lazy d
3840363369.0709758,the quick brown fox jumps over the lazy do
3840363369.330976,the quick brown fox jumps over the lazy dog
3840363370.1969919,the quick brown fox jumps over the lazy dog

3840363381.684,
3840363381.686976,
