Seconds,Value.key,Value.pressed
3838204926.4109759,RShiftKey,True
3838204926.5640001,T,True
3838204926.6659842,RShiftKey,False
3838204926.6699839,T,False
3838204926.7329922,H,True
3838204926.8539839,H,False
3838204926.8669758,E,True
3838204926.96,Space,True
3838204926.9759998,E,False
3838204927.0760002,Space,False
3838204927.1349759,Q,True
3838204927.2429762,U,True
3838204927.2480001,Q,False
3838204927.3439999,I,True
3838204927.3819842,U,False
3838204927.4489918,C,True
3838204927.4669762,I,False
3838204927.572,K,True
3838204927.572,C,False
3838204927.6799998,Space,True
3838204927.7360001,K,False
3838204927.7899842,Space,False
3838204927.8579841,B,True
3838204927.9640002,B,False
3838204928.4769921,R,True
3838204928.5689921,R,False
3838204928.7369919,W,True
3838204928.845984,W,False
3838204929.146976,Back,True
3838204929.2469759,Back,False
3838204929.4139838,O,True
3838204929.5440001,O,False
3838204929.5479999,W,True
3838204929.6659842,W,False
3838204929.6739841,N,True
3838204929.7889919,Space,True
3838204929.830976,N,False
3838204929.8989758,Space,False
3838204930.0169921,F,True
3838204930.0929918,O,True
3838204930.1129918,F,False
3838204930.2209921,O,False
3838204930.5419841,X,True
3838204930.6929922,X,False
3838204930.7699838,Space,True
3838204930.865984,Space,False
3838204930.908,J,True
3838204930.9959998,J,False
3838204931.0799999,U,True
3838204931.146976,U,False
3838204931.2449918,M,True
3838204931.370976,P,True
3838204931.3920002,M,False
3838204931.5009918,S,True
3838204931.5019841,P,False
3838204931.6189761,S,False
3838204931.6479998,Space,True
3838204931.7569919,Space,False
3838204931.7779841,O,True
3838204931.8920002,V,True
3838204931.9169922,O,False
3838204932.0040002,V,False
3838204932.0509758,E,True
3838204932.1389761,R,True
3838204932.188992,E,False
3838204932.2229762,Space,True
3838204932.2659841,R,False
3838204932.3169918,Space,False
3838204932.377984,T,True
3838204932.4959998,H,True
3838204932.524992,T,False
3838204932.6599998,Space,True
3838204932.668992,H,False
3838204932.7269759,Space,False
3838204933.0089922,Back,True
3838204933.1089921,Back,False
3838204933.1179838,E,True
3838204933.2179842,E,False
3838204933.258976,Space,True
3838204933.3469758,Space,False
3838204933.3959999,L,True
3838204933.5089922,A,True
3838204933.5389762,L,False
3838204933.6360002,A,False
3838204933.8019838,Z,True
3838204933.9009919,Y,True
3838204933.952992,Z,False
3838204934.0219841,Y,False
3838204934.0779839,Space,True
3838204934.1999998,Space,False
3838204934.3179841,D,True
3838204934.3849921,O,True
3838204934.4520001,D,False
3838204934.5379839,O,False
3838204934.8619838,G,True
3838204934.9459839,G,False
3838204938.688992,Return,True
3838204938.7869759,Return,False
3838204938.8959999,RShiftKey,True
3838204939.0139842,T,True
3838204939.0779839,RShiftKey,False
3838204939.136992,H,True
3838204939.141984,T,False
3838204939.2499838,E,True
3838204939.253984,H,False
3838204939.3389759,Space,True
3838204939.3809919,E,False
3838204939.4239998,Space,False
3838204939.448,Q,True
3838204939.514976,U,True
3838204939.5440001,Q,False
3838204939.5989761,I,True
3838204939.6479998,U,False
3838204939.718976,C,True
3838204939.7269759,I,False
3838204939.8189759,K,True
3838204939.865984,C,False
3838204939.9200001,Space,True
3838204939.9449921,K,False
3838204940.0079999,Space,False
3838204940.0440001,B,True
3838204940.161984,B,False
3838204940.2469759,R,True
3838204940.3389759,O,True
3838204940.3600001,R,False
3838204940.477984,O,False
3838204940.4920001,W,True
3838204940.5509758,N,True
3838204940.596992,W,False
3838204940.6789761,Space,True
3838204940.7199998,N,False
3838204940.7699838,Space,False
3838204940.8499842,F,True
3838204940.912992,O,True
3838204940.9559999,F,False
3838204941.0389762,O,False
3838204941.081984,X,True
3838204941.1699839,Space,True
3838204941.204,X,False
3838204941.258976,Space,False
3838204941.300992,J,True
3838204941.3759999,J,False
3838204941.448,U,True
3838204941.5159998,U,False
3838204941.6189761,M,True
3838204941.7269759,P,True
3838204941.7519999,M,False
3838204941.8280001,S,True
3838204941.840992,P,False
3838204941.9289918,S,False
3838204941.98,Space,True
3838204942.054976,O,True
3838204942.0840001,Space,False
3838204942.164,V,True
3838204942.1809921,O,False
3838204942.2529922,V,False
3838204942.2880001,E,True
3838204942.3859839,R,True
3838204942.422976,E,False
3838204942.4520001,Space,True
3838204942.489984,R,False
3838204942.54,Space,False
3838204942.5799999,T,True
3838204942.6880002,E,True
3838204942.6969919,H,True
3838204942.7009921,T,False
3838204942.7769918,E,False
3838204942.848,H,False
3838204942.8489919,Space,True
3838204942.9359999,Space,False
