Seconds,Value.key,Value.pressed
3838359946.4059839,T,True
3838359946.4959998,T,False
3838359946.7309761,H,True
3838359946.8119998,H,False
3838359946.816,E,True
3838359946.9159999,E,False
3838359951.3649921,T,True
3838359951.4569921,T,False
3838359951.482976,H,True
3838359951.5589762,E,True
3838359951.572,H,False
3838359951.6699839,E,False
3838359951.7619839,Space,True
3838359951.8499842,Space,False
3838359951.877984,Q,True
3838359952.0159998,U,True
3838359952.02,Q,False
3838359952.166976,U,False
3838359952.778976,I,True
3838359952.8789759,I,False
3838359952.8969922,C,True
3838359952.9769921,K,True
3838359952.9859838,C,False
3838359953.0709758,Space,True
3838359953.1049919,K,False
3838359953.193984,Space,False
3838359954.0999999,B,True
3838359954.1719999,R,True
3838359954.188992,B,False
3838359954.2469759,R,False
3838359954.2949762,O,True
3838359954.3829761,O,False
3838359954.3869758,W,True
3838359954.4869761,W,False
3838359954.5389762,N,True
3838359954.626976,N,False
3838359954.626976,Space,True
3838359954.7309761,Space,False
3838359955.0409918,F,True
3838359955.1289921,F,False
3838359955.2099838,O,True
3838359955.3019838,O,False
3838359955.3289919,X,True
3838359955.4219842,X,False
3838359955.4609919,Space,True
3838359955.574976,Space,False
3838359955.7229762,J,True
3838359955.7979841,J,False
3838359955.868,U,True
3838359955.9769921,M,True
3838359955.989984,U,False
3838359956.0689921,M,False
3838359956.1189761,P,True
3838359956.2049918,P,False
3838359956.213984,S,True
3838359956.310976,S,False
3838359956.3119998,Space,True
3838359956.3699841,O,True
3838359956.4069762,Space,False
3838359956.4509759,O,False
3838359956.5640001,V,True
3838359956.6179838,E,True
3838359956.6429758,V,False
3838359956.7099838,R,True
3838359956.738976,E,False
3838359956.785984,R,False
3838359956.8099842,Space,True
3838359956.8939838,Space,False
3838359956.902976,T,True
3838359956.9699841,H,True
3838359956.9819841,T,False
3838359957.054976,H,False
3838359957.0629759,E,True
3838359957.1599998,Space,True
3838359957.1599998,E,False
3838359957.2349758,Space,False
3838359957.2949762,L,True
3838359957.3619838,A,True
3838359957.3949761,L,False
3838359957.4789758,A,False
3838359958.2509761,Z,True
3838359958.3429761,Y,True
3838359958.3469758,Z,False
3838359958.4200001,Y,False
3838359958.4809918,Space,True
