Seconds,Value
3840262166.0840001,
3840262168.0949759,
3840262190.7160001,
3840262194.388,T
3840262194.554976,Th
3840262194.7329922,The
3840262194.9000001,The 
3840262195.305984,The q
3840262195.3949761,The qu
3840262195.4920001,The qui
3840262195.6160002,The quic
3840262195.7369919,The quick
3840262195.8339839,The quick 
3840262195.9289918,The quick b
3840262196.1160002,The quick br
3840262196.2119999,The quick bro
3840262196.3559999,The quick brow
3840262196.457984,The quick brown
3840262196.5779839,The quick brown 
3840262196.785984,The quick brown f
3840262196.9049921,The quick brown fo
3840262197.0240002,The quick brown fox
3840262197.1560001,The quick brown fox 
3840262197.2719998,The quick brown fox j
3840262197.4499841,The quick brown fox ju
3840262197.652,The quick brown fox jum
3840262197.7329922,The quick brown fox jump
3840262197.877984,The quick brown fox jumps
3840262198.0089922,The quick brown fox jumps 
3840262198.0689921,The quick brown fox jumps o
3840262198.2109761,The quick brown fox jumps ov
3840262198.325984,The quick brown fox jumps ove
3840262198.4369922,The quick brown fox jumps over
3840262198.5339842,The quick brown fox jumps over 
3840262198.6859841,The quick brown fox jumps over t
3840262198.7609921,The quick brown fox jumps over th
3840262198.8489919,The quick brown fox jumps over the
3840262198.9120002,The quick brown fox jumps over the 
3840262199.0869761,The quick brown fox jumps over the l
3840262199.2199998,The quick brown fox jumps over the la
3840262199.4709759,The quick brown fox jumps over the laz
3840262199.5909762,The quick brown fox jumps over the lazy
3840262199.7179842,The quick brown fox jumps over the lazy 
3840262200.0840001,The quick brown fox jumps over the lazy d
3840262200.198976,The quick brown fox jumps over the lazy do
3840262200.3669758,The quick brown fox jumps over the lazy dog
3840262200.5879998,The quick brown fox jumps over the lazy dog

3840262200.888,The quick brown fox jumps over the lazy dog
T
3840262201.0840001,The quick brown fox jumps over the lazy dog
Th
3840262201.1919999,The quick brown fox jumps over the lazy dog
The
3840262201.4269762,The quick brown fox jumps over the lazy dog
The 
3840262201.5509758,The quick brown fox jumps over the lazy dog
The q
3840262201.6649919,The quick brown fox jumps over the lazy dog
The qu
3840262201.932992,The quick brown fox jumps over the lazy dog
The qui
3840262202.0679998,The quick brown fox jumps over the lazy dog
The quic
3840262202.1799998,The quick brown fox jumps over the lazy dog
The quick
3840262202.2829762,The quick brown fox jumps over the lazy dog
The quick 
3840262202.4209919,The quick brown fox jumps over the lazy dog
The quick b
3840262202.6199999,The quick brown fox jumps over the lazy dog
The quick br
3840262202.7989759,The quick brown fox jumps over the lazy dog
The quick bro
3840262203.0379839,The quick brown fox jumps over the lazy dog
The quick brow
