Seconds,Value
3838368162.5659838,
3838368164.5799999,
3838368173.5799999,
3838368175.0689921,T
3838368175.850976,Th
3838368176.0129919,The
3838368176.1629758,The 
3838368176.4879999,The q
3838368176.5799999,The qu
3838368176.6529918,The qui
3838368176.848,The quic
3838368176.989984,The quick
3838368177.096992,The quick 
3838368177.9819841,The quick b
3838368178.116992,The quick br
3838368178.1979842,The quick bro
3838368178.5279999,The quick brow
3838368178.606976,The quick brown
3838368178.7399998,The quick brown 
3838368179.141984,The quick brown f
3838368179.2639999,The quick brown fo
3838368179.6969919,The quick brown fox
3838368179.7869759,The quick brown fox 
3838368180.7469759,The quick brown fox j
3838368180.908,The quick brown fox ju
3838368181.4239998,The quick brown fox jum
3838368181.641984,The quick brown fox jump
3838368181.8280001,The quick brown fox jumps
3838368181.9200001,The quick brown fox jumps 
3838368182.0659838,The quick brown fox jumps o
3838368182.3139839,The quick brown fox jumps ov
3838368182.4109759,The quick brown fox jumps ove
3838368182.5259838,The quick brown fox jumps over
3838368182.6029758,The quick brown fox jumps over 
3838368182.776,The quick brown fox jumps over l
3838368183.9589758,The quick brown fox jumps over 
3838368184.1379838,The quick brown fox jumps over t
3838368184.2699838,The quick brown fox jumps over th
3838368184.4520001,The quick brown fox jumps over the
3838368184.5629759,The quick brown fox jumps over the 
3838368184.8169918,The quick brown fox jumps over the l
3838368184.98,The quick brown fox jumps over the la
3838368185.2080002,The quick brown fox jumps over the laz
3838368185.3739839,The quick brown fox jumps over the lazy
3838368185.564992,The quick brown fox jumps over the lazy 
3838368185.704,The quick brown fox jumps over the lazy d
3838368185.850976,The quick brown fox jumps over the lazy do
3838368186.0739841,The quick brown fox jumps over the lazy dog
3838368186.1589761,The quick brown fox jumps over the lazy dog 
3838368187.756,The quick brown fox jumps over the lazy dog
3838368188.3579841,The quick brown fox jumps over the lazy dog.
3838368188.9320002,The quick brown fox jumps over the lazy dog.

3838368191.1349759,The quick brown fox jumps over the lazy dog.
T
3838368191.4259839,The quick brown fox jumps over the lazy dog.
Te
3838368191.52,The quick brown fox jumps over the lazy dog.
Teh
3838368191.704,The quick brown fox jumps over the lazy dog.
Teh 
3838368192.9449921,The quick brown fox jumps over the lazy dog.
Teh
3838368193.069984,The quick brown fox jumps over the lazy dog.
Te
3838368193.1999998,The quick brown fox jumps over the lazy dog.
T
3838368193.3549762,The quick brown fox jumps over the lazy dog.

3838368194.2360001,The quick brown fox jumps over the lazy dog.
t
3838368195.3920002,The quick brown fox jumps over the lazy dog.

3838368195.758976,The quick brown fox jumps over the lazy dog.
T
3838368196.0529919,The quick brown fox jumps over the lazy dog.
Th
3838368196.1789761,The quick brown fox jumps over the lazy dog.
The
3838368196.2939839,The quick brown fox jumps over the lazy dog.
The 
3838368196.9289918,The quick brown fox jumps over the lazy dog.
The q
3838368197.2989759,The quick brown fox jumps over the lazy dog.
The qu
3838368197.4439998,The quick brown fox jumps over the lazy dog.
The qui
3838368197.6209922,The quick brown fox jumps over the lazy dog.
The quic
3838368198.0219841,The quick brown fox jumps over the lazy dog.
The quick
3838368198.1360002,The quick brown fox jumps over the lazy dog.
The quick 
3838368198.462976,The quick brown fox jumps over the lazy dog.
The quick b
3838368198.621984,The quick brown fox jumps over the lazy dog.
The quick br
3838368198.7880001,The quick brown fox jumps over the lazy dog.
The quick bro
3838368198.9549761,The quick brown fox jumps over the lazy dog.
The quick brow
3838368199.0429759,The quick brown fox jumps over the lazy dog.
The quick brown
3838368199.1929922,The quick brown fox jumps over the lazy dog.
The quick brown 
3838368199.4729919,The quick brown fox jumps over the lazy dog.
The quick brown f
3838368199.552,The quick brown fox jumps over the lazy dog.
The quick brown fo
3838368199.8400002,The quick brown fox jumps over the lazy dog.
The quick brown fox
3838368199.9879999,The quick brown fox jumps over the lazy dog.
The quick brown foxy
3838368200.1249919,The quick brown fox jumps over the lazy dog.
The quick brown foxy 
3838368200.372992,The quick brown fox jumps over the lazy dog.
The quick brown foxy j
3838368200.5560002,The quick brown fox jumps over the lazy dog.
The quick brown foxy ju
3838368200.7449918,The quick brown fox jumps over the lazy dog.
The quick brown foxy jum
3838368200.9589758,The quick brown fox jumps over the lazy dog.
The quick brown foxy jump
3838368201.081984,The quick brown fox jumps over the lazy dog.
The quick brown foxy jumps
3838368201.1819839,The quick brown fox jumps over the lazy dog.
The quick brown foxy jumps 
3838368201.296,The quick brown fox jumps over the lazy dog.
The quick brown foxy jumps o
3838368201.5289922,The quick brown fox jumps over the lazy dog.
The quick brown foxy jumps ov
3838368201.5599999,The quick brown fox jumps over the lazy dog.
The quick brown foxy jumps ove
3838368201.7069759,The quick brown fox jumps over the lazy dog.
The quick brown foxy jumps over
3838368201.733984,The quick brown fox jumps over the lazy dog.
